questionID,titleQuestion,ans1,ans2,ans3,ans4,answerid,image
33,Which of the following is not the name of a 'Bond Girl'? ,Wai Lin,Pam Bouvier,Mary Goodnight,Vanessa Kensington,4,
34,What is the correct spelling of the protagonist of the book in The NeverEnding Story (1984)?,Atrayu,Atraeyu,Atreyu,Atraiyu,3,
35,In the 1979 British film 'Quadrophenia' what is the name of the main protagonist?,Pete Townshend,Franc Roddam,Jimmy Cooper,Archie Bunker,3,
36,Which actress portrayed Dr. Grace Augustine in the James Cameron movie 'Avatar'?,Melissa Beckett,Jessica Chastain,Alyssa Monroe ,Sigourney Weaver,4,
37,Which one of these action movies are shot entirely in one take?,Ip Man 2,The Bourne Legacy,Victoria,Leon: The Professional,3,
38,Who played Sgt. Gordon Elias in 'Platoon' (1986)?,Charlie Sheen,Johnny Depp,Willem Dafoe,Matt Damon,3,
39,Which Marvel superhero did Chris Evans play prior to his role as Captain America?,Cyclops,Daredevil,Iceman,Human Torch,4,
40,"In the film 'Interstellar', how long did they spend on Miller's planet?","15 years, 2 months, and 15 days",10 months and 6 days,"23 years, 4 months, and 8 days","26 years, 4 months, and 10 days",3,
41,Which musical artist had a prominent role in the 2017 film 'Kingsman: The Golden Circle'?,Lady Gaga,Justin Bieber,Rihanna,Elton John,4,
42,What did Alfred Hitchcock use as blood in the film 'Psycho'? ,Chocolate syrup,Red food coloring,Ketchup,Maple syrup,1,
43,Which one of these films are shot entirely in one-take?,Good Will Hunting,Birdman,Russian Ark,Schindler's List,3,
44,What was the last Marx Brothers film to feature Zeppo?,Duck Soup,Monkey Business,A Night at the Opera,A Day at the Races,1,
45,Who directed the 1973 film 'American Graffiti'?,George Lucas,Francis Ford Coppola,Ron Howard,Steven Spielberg,1,
46,Which of these movies did Jeff Bridges not star in?,Tron: Legacy,The Giver,True Grit,The Hateful Eight,4,
47,"This movie contains the quote, 'Nobody puts Baby in a corner.'",Dirty Dancing,Ferris Bueller's Day Off,Three Men and a Baby,Pretty in Pink,1,
48,"In the 1971 film 'Willy Wonka & the Chocolate Factory', who played Willy Wonka?",Shia LeBouf,Peter Ostrum,Johnny Depp,Gene Wilder,4,
49,What is the name of the first 'Star Wars' film by release order?,Revenge of the Sith,A New Hope,The Force Awakens,The Phantom Menace,2,
50,In what year did Clint Eastwood star as Inspector Harry Callahan in the film 'Dirty Harry'?,1969,1975,1983,1971,4,
51,"In the 1995 film 'Balto', who are Steele's accomplices?","Dusty, Kirby, and Ralph","Jenna, Sylvie, and Dixie","Kaltag, Nikki, and Star","Nuk, Yak, and Sumac",3,
52,Who plays 'Bruce Wayne' in the 2008 movie 'The Dark Knight'?,Ron Dean,Michael Caine,Heath Ledger,Christian Bale,4,
53,What Queen song plays during the final fight scene of the film 'Hardcore Henry'?,Another Bites the Dust,Brighton Rock,We Will Rock You,Don't Stop Me Now,4,
